Genero,Meses,M3SD,M2SD,M1SD,Median,1DS,2SD,3SD
M,164,14.1,15.3,16.8,18.7,21.5,25.5,32.7
M,165,14.1,15.3,16.8,18.8,21.5,25.6,32.8
M,166,14.2,15.4,16.9,18.9,21.6,25.7,32.9
M,167,14.2,15.4,17,18.9,21.7,25.8,33
M,168,14.3,15.5,17,19,21.8,25.9,33.1
M,169,14.3,15.5,17.1,19.1,21.8,26,33.2
M,170,14.3,15.6,17.1,19.1,21.9,26.1,33.3
M,171,14.4,15.6,17.2,19.2,22,26.2,33.4
M,172,14.4,15.7,17.2,19.3,22.1,26.3,33.5
M,173,14.5,15.7,17.3,19.3,22.2,26.4,33.5
M,174,14.5,15.7,17.3,19.4,22.2,26.5,33.6
M,175,14.5,15.8,17.4,19.5,22.3,26.5,33.7
M,176,14.6,15.8,17.4,19.5,22.4,26.6,33.8
M,177,14.6,15.9,17.5,19.6,22.5,26.7,33.9
M,178,14.6,15.9,17.5,19.6,22.5,26.8,33.9
M,179,14.7,16,17.6,19.7,22.6,26.9,34
M,180,14.7,16,17.6,19.8,22.7,27,34.1
M,181,14.7,16.1,17.7,19.8,22.8,27.1,34.1
M,182,14.8,16.1,17.8,19.9,22.8,27.1,34.2
M,183,14.8,16.1,17.8,20,22.9,27.2,34.3
M,184,14.8,16.2,17.9,20,23,27.3,34.3
M,185,14.9,16.2,17.9,20.1,23,27.4,34.4
M,186,14.9,16.3,18,20.1,23.1,27.4,34.5
M,187,15,16.3,18,20.2,23.2,27.5,34.5
M,188,15,16.3,18.1,20.3,23.3,27.6,34.6
M,189,15,16.4,18.1,20.3,23.3,27.7,34.6
M,190,15,16.4,18.2,20.4,23.4,27.7,34.7
M,191,15.1,16.5,18.2,20.4,23.5,27.8,34.7
M,192,15.1,16.5,18.2,20.5,23.5,27.9,34.8
M,193,15.1,16.5,18.3,20.6,23.6,27.9,34.8
M,194,15.2,16.6,18.3,20.6,23.7,28,34.8
M,195,15.2,16.6,18.4,20.7,23.7,28.1,34.9
M,196,15.2,16.7,18.4,20.7,23.8,28.1,34.9
M,197,15.3,16.7,18.5,20.8,23.8,28.2,35
M,198,15.3,16.7,18.5,20.8,23.9,28.3,35
M,199,15.3,16.8,18.6,20.9,24,28.3,35
M,200,15.3,16.8,18.6,20.9,24,28.4,35.1
M,201,15.4,16.8,18.7,21,24.1,28.5,35.1
M,202,15.4,16.9,18.7,21,24.2,28.5,35.1
M,203,15.4,16.9,18.7,21.1,24.2,28.6,35.2
M,204,15.4,16.9,18.8,21.1,24.3,28.6,35.2
M,205,15.5,17,18.8,21.2,24.3,28.7,35.2
M,206,15.5,17,18.9,21.2,24.4,28.7,35.2
M,207,15.5,17,18.9,21.3,24.4,28.8,35.3
M,208,15.5,17.1,18.9,21.3,24.5,28.9,35.3
M,209,15.6,17.1,19,21.4,24.5,28.9,35.3
M,210,15.6,17.1,19,21.4,24.6,29,35.3
M,211,15.6,17.1,19.1,21.5,24.7,29,35.4
M,212,15.6,17.2,19.1,21.5,24.7,29.1,35.4
M,213,15.6,17.2,19.1,21.6,24.8,29.1,35.4
M,214,15.7,17.2,19.2,21.6,24.8,29.2,35.4
M,215,15.7,17.3,19.2,21.7,24.9,29.2,35.4
M,216,15.7,17.3,19.2,21.7,24.9,29.2,35.4
M,217,15.7,17.3,19.3,21.8,25,29.3,35.4
M,218,15.7,17.3,19.3,21.8,25,29.3,35.5
M,219,15.7,17.4,19.3,21.8,25.1,29.4,35.5
M,220,15.8,17.4,19.4,21.9,25.1,29.4,35.5
M,221,15.8,17.4,19.4,21.9,25.1,29.5,35.5
M,222,15.8,17.4,19.4,22,25.2,29.5,35.5
M,223,15.8,17.5,19.5,22,25.2,29.5,35.5
M,224,15.8,17.5,19.5,22,25.3,29.6,35.5
M,225,15.8,17.5,19.5,22.1,25.3,29.6,35.5
M,226,15.8,17.5,19.6,22.1,25.4,29.6,35.5
M,227,15.8,17.5,19.6,22.2,25.4,29.7,35.5
M,228,15.9,17.6,19.6,22.2,25.4,29.7,35.5
F,61,11.8,12.7,13.9,15.2,16.9,18.9,21.3
F,62,11.8,12.7,13.9,15.2,16.9,18.9,21.4
F,63,11.8,12.7,13.9,15.2,16.9,18.9,21.5
F,64,11.8,12.7,13.9,15.2,16.9,18.9,21.5
F,65,11.7,12.7,13.9,15.2,16.9,19,21.6
F,66,11.7,12.7,13.9,15.2,16.9,19,21.7
F,67,11.7,12.7,13.9,15.2,16.9,19,21.7
F,68,11.7,12.7,13.9,15.3,17,19.1,21.8
F,69,11.7,12.7,13.9,15.3,17,19.1,21.9
F,70,11.7,12.7,13.9,15.3,17,19.1,22
F,71,11.7,12.7,13.9,15.3,17,19.2,22.1
F,72,11.7,12.7,13.9,15.3,17,19.2,22.1
F,73,11.7,12.7,13.9,15.3,17,19.3,22.2
F,74,11.7,12.7,13.9,15.3,17,19.3,22.3
F,75,11.7,12.7,13.9,15.3,17.1,19.3,22.4
F,76,11.7,12.7,13.9,15.3,17.1,19.4,22.5
F,77,11.7,12.7,13.9,15.3,17.1,19.4,22.6
F,78,11.7,12.7,13.9,15.3,17.1,19.5,22.7
F,79,11.7,12.7,13.9,15.3,17.2,19.5,22.8
F,80,11.7,12.7,13.9,15.3,17.2,19.6,22.9
F,81,11.7,12.7,13.9,15.4,17.2,19.6,23
F,82,11.7,12.7,13.9,15.4,17.2,19.7,23.1
F,83,11.7,12.7,13.9,15.4,17.3,19.7,23.2
F,84,11.8,12.7,13.9,15.4,17.3,19.8,23.3
F,85,11.8,12.7,13.9,15.4,17.3,19.8,23.4
F,86,11.8,12.8,14,15.4,17.4,19.9,23.5
F,87,11.8,12.8,14,15.5,17.4,20,23.6
F,88,11.8,12.8,14,15.5,17.4,20,23.7
F,89,11.8,12.8,14,15.5,17.5,20.1,23.9
F,90,11.8,12.8,14,15.5,17.5,20.1,24
F,91,11.8,12.8,14,15.5,17.5,20.2,24.1
F,92,11.8,12.8,14,15.6,17.6,20.3,24.2
F,93,11.8,12.8,14.1,15.6,17.6,20.3,24.4
F,94,11.9,12.9,14.1,15.6,17.6,20.4,24.5
F,95,11.9,12.9,14.1,15.7,17.7,20.5,24.6
F,96,11.9,12.9,14.1,15.7,17.7,20.6,24.8
F,97,11.9,12.9,14.1,15.7,17.8,20.6,24.9
F,98,11.9,12.9,14.2,15.7,17.8,20.7,25.1
F,99,11.9,12.9,14.2,15.8,17.9,20.8,25.2
F,100,11.9,13,14.2,15.8,17.9,20.9,25.3
F,101,12,13,14.2,15.8,18,20.9,25.5
F,102,12,13,14.3,15.9,18,21,25.6
F,103,12,13,14.3,15.9,18.1,21.1,25.8
