Genero,Meses,M3SD,M2SD,M1SD,Median,1DS,2SD,3SD
M,165,138.6,146.2,153.8,161.5,169.1,176.7,184.4
M,166,139.1,146.7,154.4,162.1,169.7,177.4,185
M,167,139.6,147.3,154.9,162.6,170.3,178,185.6
M,168,140.1,147.8,155.5,163.2,170.9,178.6,186.3
M,169,140.6,148.3,156,163.7,171.4,179.1,186.9
M,170,141.1,148.8,156.5,164.3,172,179.7,187.4
M,171,141.6,149.3,157.1,164.8,172.5,180.3,188
M,172,142.1,149.8,157.6,165.3,173.1,180.8,188.6
M,173,142.5,150.3,158.1,165.8,173.6,181.3,189.1
M,174,143,150.8,158.5,166.3,174.1,181.8,189.6
M,175,143.4,151.2,159,166.8,174.6,182.3,190.1
M,176,143.9,151.7,159.5,167.2,175,182.8,190.6
M,177,144.3,152.1,159.9,167.7,175.5,183.3,191.1
M,178,144.7,152.5,160.3,168.1,175.9,183.7,191.5
M,179,145.1,152.9,160.7,168.5,176.3,184.1,191.9
M,180,145.5,153.4,161.2,169,176.8,184.6,192.4
M,181,145.9,153.7,161.5,169.4,177.2,185,192.8
M,182,146.3,154.1,161.9,169.7,177.5,185.4,193.2
M,183,146.7,154.5,162.3,170.1,177.9,185.7,193.5
M,184,147.1,154.9,162.7,170.5,178.3,186.1,193.9
M,185,147.4,155.2,163,170.8,178.6,186.4,194.2
M,186,147.7,155.5,163.3,171.1,178.9,186.8,194.6
M,187,148.1,155.9,163.7,171.5,179.3,187.1,194.9
M,188,148.4,156.2,164,171.8,179.6,187.4,195.2
M,189,148.7,156.5,164.3,172.1,179.9,187.7,195.4
M,190,149,156.8,164.6,172.4,180.1,187.9,195.7
M,191,149.3,157.1,164.9,172.6,180.4,188.2,196
M,192,149.6,157.4,165.1,172.9,180.7,188.4,196.2
M,193,149.9,157.6,165.4,173.1,180.9,188.7,196.4
M,194,150.1,157.9,165.6,173.4,181.1,188.9,196.7
M,195,150.4,158.1,165.9,173.6,181.4,189.1,196.9
M,196,150.6,158.4,166.1,173.8,181.6,189.3,197
M,197,150.9,158.6,166.3,174,181.8,189.5,197.2
M,198,151.1,158.8,166.5,174.2,181.9,189.7,197.4
M,199,151.3,159,166.7,174.4,182.1,189.8,197.5
M,200,151.5,159.2,166.9,174.6,182.3,190,197.7
M,201,151.7,159.4,167.1,174.7,182.4,190.1,197.8
M,202,151.9,159.6,167.2,174.9,182.6,190.2,197.9
M,203,152.1,159.7,167.4,175,182.7,190.3,198
M,204,152.2,159.9,167.5,175.2,182.8,190.4,198.1
M,205,152.4,160,167.7,175.3,182.9,190.5,198.2
M,206,152.5,160.2,167.8,175.4,183,190.6,198.2
M,207,152.7,160.3,167.9,175.5,183.1,190.7,198.3
M,208,152.8,160.4,168,175.6,183.2,190.8,198.4
M,209,153,160.5,168.1,175.7,183.3,190.8,198.4
M,210,153.1,160.6,168.2,175.8,183.3,190.9,198.4
M,211,153.2,160.8,168.3,175.8,183.4,190.9,198.5
M,212,153.3,160.9,168.4,175.9,183.4,191,198.5
M,213,153.4,160.9,168.5,176,183.5,191,198.5
M,214,153.5,161,168.5,176,183.5,191,198.5
M,215,153.6,161.1,168.6,176.1,183.6,191.1,198.6
M,216,153.7,161.2,168.7,176.1,183.6,191.1,198.6
M,217,153.8,161.3,168.7,176.2,183.6,191.1,198.6
M,218,153.9,161.4,168.8,176.2,183.7,191.1,198.6
M,219,154,161.4,168.9,176.3,183.7,191.1,198.6
M,220,154.1,161.5,168.9,176.3,183.7,191.1,198.6
M,221,154.2,161.6,169,176.4,183.8,191.1,198.5
M,222,154.2,161.6,169,176.4,183.8,191.1,198.5
M,223,154.3,161.7,169,176.4,183.8,191.2,198.5
M,224,154.4,161.7,169.1,176.4,183.8,191.2,198.5
M,225,154.5,161.8,169.1,176.5,183.8,191.2,198.5
M,226,154.5,161.8,169.2,176.5,183.8,191.1,198.5
M,227,154.6,161.9,169.2,176.5,183.8,191.1,198.5
M,228,154.6,161.9,169.2,176.5,183.8,191.1,198.4
F,61,95.3,100.1,104.8,109.6,114.4,119.1,123.9
F,62,95.7,100.5,105.3,110.1,114.9,119.7,124.5
F,63,96.1,101,105.8,110.6,115.5,120.3,125.2
F,64,96.5,101.4,106.3,111.2,116,120.9,125.8
F,65,97,101.9,106.8,111.7,116.6,121.5,126.4
F,66,97.4,102.3,107.2,112.2,117.1,122,127
F,67,97.8,102.7,107.7,112.7,117.6,122.6,127.6
F,68,98.2,103.2,108.2,113.2,118.2,123.2,128.2
F,69,98.6,103.6,108.6,113.7,118.7,123.7,128.8
F,70,99,104,109.1,114.2,119.2,124.3,129.3
F,71,99.4,104.5,109.6,114.6,119.7,124.8,129.9
F,72,99.8,104.9,110,115.1,120.2,125.4,130.5
F,73,100.2,105.3,110.5,115.6,120.8,125.9,131.1
F,74,100.5,105.7,110.9,116.1,121.3,126.4,131.6
F,75,100.9,106.1,111.3,116.6,121.8,127,132.2
F,76,101.3,106.6,111.8,117,122.3,127.5,132.7
F,77,101.7,107,112.2,117.5,122.8,128,133.3
F,78,102.1,107.4,112.7,118,123.3,128.6,133.9
F,79,102.5,107.8,113.1,118.4,123.8,129.1,134.4
F,80,102.9,108.2,113.6,118.9,124.3,129.6,135
F,81,103.2,108.6,114,119.4,124.8,130.2,135.5
F,82,103.6,109,114.5,119.9,125.3,130.7,136.1
F,83,104,109.5,114.9,120.3,125.8,131.2,136.7
F,84,104.4,109.9,115.3,120.8,126.3,131.7,137.2
F,85,104.8,110.3,115.8,121.3,126.8,132.3,137.8
F,86,105.2,110.7,116.2,121.8,127.3,132.8,138.3
F,87,105.6,111.1,116.7,122.2,127.8,133.3,138.9
F,88,106,111.6,117.1,122.7,128.3,133.9,139.4
F,89,106.4,112,117.6,123.2,128.8,134.4,140
F,90,106.8,112.4,118,123.7,129.3,134.9,140.6
F,91,107.2,112.8,118.5,124.1,129.8,135.5,141.1
F,92,107.6,113.2,118.9,124.6,130.3,136,141.7
F,93,108,113.7,119.4,125.1,130.8,136.5,142.3
F,94,108.4,114.1,119.8,125.6,131.3,137.1,142.8
F,95,108.8,114.5,120.3,126.1,131.8,137.6,143.4
F,96,109.2,115,120.8,126.6,132.4,138.2,143.9
F,97,109.6,115.4,121.2,127,132.9,138.7,144.5
F,98,110,115.8,121.7,127.5,133.4,139.2,145.1
F,99,110.4,116.3,122.1,128,133.9,139.8,145.7
F,100,110.8,116.7,122.6,128.5,134.4,140.3,146.2
F,101,111.2,117.1,123.1,129,134.9,140.9,146.8
F,102,111.6,117.6,123.5,129.5,135.5,141.4,147.4
F,103,112,118,124,130,136,142,147.9
F,104,112.5,118.5,124.5,130.5,136.5,142.5,148.5
F,105,112.9,118.9,125,131,137,143.1,149.1
F,106,113.3,119.4,125.4,131.5,137.5,143.6,149.7
F,107,113.7,119.8,125.9,132,138.1,144.2,150.2
F,108,114.2,120.3,126.4,132.5,138.6,144.7,150.8
F,109,114.6,120.7,126.9,133,139.1,145.3,151.4
F,110,115,121.2,127.3,133.5,139.7,145.8,152
F,111,115.5,121.6,127.8,134,140.2,146.4,152.6
F,112,115.9,122.1,128.3,134.5,140.7,146.9,153.1
F,113,116.3,122.6,128.8,135,141.3,147.5,153.7
F,114,116.8,123,129.3,135.5,141.8,148.1,154.3
F,115,117.2,123.5,129.8,136.1,142.3,148.6,154.9
F,116,117.7,124,130.3,136.6,142.9,149.2,155.5
F,117,118.1,124.4,130.8,137.1,143.4,149.7,156.1
F,118,118.5,124.9,131.2,137.6,144,150.3,156.7
F,119,119,125.4,131.7,138.1,144.5,150.9,157.2
F,120,119.4,125.8,132.2,138.6,145,151.4,157.8
F,121,119.9,126.3,132.7,139.2,145.6,152,158.4
F,122,120.4,126.8,133.2,139.7,146.1,152.6,159
F,123,120.8,127.3,133.7,140.2,146.7,153.1,159.6
F,124,121.3,127.8,134.2,140.7,147.2,153.7,160.2
F,125,121.7,128.2,134.8,141.3,147.8,154.3,160.8
F,126,122.2,128.7,135.3,141.8,148.3,154.8,161.4
F,127,122.7,129.2,135.8,142.3,148.9,155.4,162
F,128,123.2,129.7,136.3,142.9,149.4,156,162.6
F,129,123.6,130.2,136.8,143.4,150,156.6,163.1
F,130,124.1,130.7,137.3,143.9,150.5,157.1,163.7
