Genero,Meses,M3SD,M2SD,M1SD,Median,1DS,2SD,3SD
F,104,17.5,20,23.1,27.1,32.2,39.1,48.7
F,105,17.7,20.2,23.3,27.4,32.6,39.6,49.3
F,106,17.8,20.4,23.6,27.6,32.9,40,49.9
F,107,18,20.6,23.8,27.9,33.3,40.5,50.5
F,108,18.1,20.8,24,28.2,33.6,41,51.1
F,109,18.3,21,24.3,28.5,34,41.4,51.8
F,110,18.5,21.2,24.5,28.8,34.4,41.9,52.4
F,111,18.7,21.4,24.7,29.1,34.7,42.4,53.1
F,112,18.8,21.6,25,29.4,35.1,42.9,53.7
F,113,19,21.8,25.2,29.7,35.5,43.3,54.4
F,114,19.2,22,25.5,30,35.9,43.8,55
F,115,19.4,22.2,25.7,30.3,36.2,44.3,55.7
F,116,19.5,22.4,26,30.6,36.6,44.8,56.4
F,117,19.7,22.6,26.2,30.9,37,45.3,57.1
F,118,19.9,22.8,26.5,31.2,37.4,45.8,57.8
F,119,20.1,23,26.8,31.5,37.8,46.4,58.5
F,120,20.3,23.3,27,31.9,38.2,46.9,59.2
